Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,333113000,2005
総務費,02,総務管理費,0201,3681408000,2005
総務費,02,徴税費,0202,561571000,2005
総務費,02,戸籍住民基本台帳費,0203,260067000,2005
総務費,02,選挙費,0204,62605000,2005
総務費,02,統計調査費,0205,66064000,2005
総務費,02,監査委員費,0206,44557000,2005
民生費,03,社会福祉費,0301,4042357000,2005
民生費,03,老人福祉費,0302,1890661000,2005
民生費,03,児童福祉費,0303,6638599000,2005
民生費,03,生活保護費,0304,4703766000,2005
民生費,03,災害救助費,0305,1000000,2005
衛生費,04,保健衛生費,0401,781368000,2005
衛生費,04,結核対策費,0402,12207000,2005
衛生費,04,保健所費,0403,0,2005
衛生費,04,清掃費,0404,1183773000,2005
労働費,05,失業対策費,0501,0,2005
労働費,05,労働諸費,0502,257326000,2005
農林水産業費,06,農業費,0601,188957000,2005
農林水産業費,06,畜産業費,0602,61916000,2005
農林水産業費,06,農地費,0603,121791000,2005
農林水産業費,06,林業費,0604,3225000,2005
農林水産業費,06,水産業費,0605,51377000,2005
商工費,07,商工費,0700,392471000,2005
土木費,08,土木管理費,0801,221929000,2005
土木費,08,道路橋りょう費,0802,1083396000,2005
土木費,08,河川費,0803,855000,2005
土木費,08,港湾費,0804,382000,2005
土木費,08,都市計画費,0805,3892737000,2005
土木費,08,住宅費,0806,973586000,2005
土木費,08,空港費,0807,0,2005
消防費,09,消防費,0900,1262189000,2005
教育費,10,教育総務費,1001,812887000,2005
教育費,10,小学校費,1002,1680718000,2005
教育費,10,中学校費,1003,903005000,2005
教育費,10,高等学校費,1004,0,2005
教育費,10,特殊学校費,1005,0,2005
教育費,10,幼稚園費,1006,418600000,2005
教育費,10,社会教育費,1007,285186000,2005
教育費,10,保健体育費,1008,1526387000,2005
教育費,10,大学費,1009,0,2005
災害復旧費,11,農林水産施設,1101,0,2005
災害復旧費,11,公共土木施設,1102,0,2005
災害復旧費,11,その他,1103,0,2005
公債費,12,公債費,1200,3964021000,2005
諸支出金,13,普通財産取得費,1301,0,2005
諸支出金,13,公営企業費,1302,0,2005
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2005
前年度繰上充用金,14,前年度繰上充用金,1400,0,2005
